Date,Power (kW),Power_second_derivative (kW),Power-1 (kW),Power_week (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday
2017-01-08 00:00:00,109.2492065,0.7712360000000018,111.5852498,74.897706,9.829166666666667,67.47916666666667,0.6648333333333334,0.0,1
2017-01-08 01:00:00,107.6843992,0.10499500000000239,109.2492065,75.1735565,9.2875,67.83749999999999,0.5863333333333333,0.0,1
2017-01-08 02:00:00,106.2245869,1.8507754999999833,107.6843992,74.2081752,8.750833333333334,67.81583333333333,0.4386666666666667,0.0,1
2017-01-08 03:00:00,106.6155501,-1.3259913999999782,106.2245869,73.7358886,7.430833333333333,81.18333333333334,0.42700000000000005,0.0,1
2017-01-08 04:00:00,105.6805219,-3.9040959000000157,106.6155501,75.1023508,7.076833333333333,78.10000000000001,0.5679166666666667,0.0,1
2017-01-08 05:00:00,100.8413978,1.3139647000000139,105.6805219,75.7873,6.764666666666667,77.80833333333334,0.56325,0.0,1
2017-01-08 06:00:00,97.3162384,3.3858023999999887,100.8413978,77.6023772,6.522583333333333,79.69166666666666,0.6001666666666666,0.0,1
2017-01-08 07:00:00,97.1768814,-0.9814168999999993,97.3162384,78.4381374,6.25875,81.46666666666667,1.7409999999999999,0.0,1
2017-01-08 08:00:00,96.0561075,4.285132300000001,97.1768814,79.3300222,6.531083333333334,78.40833333333333,51.3325,0.0,1
2017-01-08 09:00:00,99.2204659,-3.3978290999999956,96.0561075,79.1734842,6.9955,74.59166666666667,179.24166666666667,0.0,1
2017-01-08 10:00:00,98.9869952,3.682651899999996,99.2204659,79.9118854,8.003333333333334,71.99166666666666,334.375,0.0,1
2017-01-08 11:00:00,102.4361764,0.7338196000000039,98.9869952,79.9960723,9.2475,66.73833333333333,402.60833333333335,0.0,1
2017-01-08 12:00:00,106.6191772,-4.8916215999999935,102.4361764,78.9804843,10.240833333333333,63.19583333333333,468.9083333333333,0.0,1
2017-01-08 13:00:00,105.9105564,3.398401799999988,106.6191772,80.4000167,11.4475,58.60166666666667,453.7416666666666,0.0,1
2017-01-08 14:00:00,108.6003374,3.3621308000000028,105.9105564,82.9294417,12.266666666666666,55.62083333333334,377.25,0.0,1
2017-01-08 15:00:00,114.6522492,1.5806520000000006,108.6003374,84.2287071,12.4625,53.97,269.3833333333333,0.0,1
2017-01-08 16:00:00,122.284813,-0.7328650999999979,114.6522492,84.272805,12.543333333333335,54.693333333333335,121.98333333333333,0.0,1
2017-01-08 17:00:00,129.1845117,-7.339532300000016,122.284813,85.5831426,11.771666666666667,55.75666666666667,12.859833333333333,0.0,1
2017-01-08 18:00:00,128.7446781,0.28463190000002214,129.1845117,85.158581,11.448333333333332,55.42166666666666,0.18008333333333335,0.0,1
2017-01-08 19:00:00,128.5894764,-4.145775299999997,128.7446781,86.1590879,10.990833333333333,59.155,0.43616666666666665,0.0,1
2017-01-08 20:00:00,124.2884994,2.7413239999999774,128.5894764,87.6857152,10.2475,62.035,0.2793333333333333,0.0,1
2017-01-08 21:00:00,122.7288464,-2.0550384999999807,124.2884994,86.0090405,9.994166666666667,56.475,0.2678333333333333,0.0,1
2017-01-08 22:00:00,119.1141549,0.35201959999999133,122.7288464,87.447472,9.750833333333334,49.07333333333333,0.21466666666666667,0.0,1
2017-01-08 23:00:00,115.851483,-0.4027990000000017,119.1141549,88.2941135,9.258461538461539,48.36846153846154,0.2323076923076923,0.0,1
2017-01-09 00:00:00,112.1860121,1.2167966000000092,115.851483,87.3963108,8.8825,50.3425,0.2031666666666667,0.0,0
2017-01-09 01:00:00,109.7373378,-5.06209530000001,112.1860121,89.1758806,8.838333333333333,52.2925,0.23099999999999998,0.0,0
2017-01-09 02:00:00,102.2265682,-1.7925510000000031,109.7373378,88.1238307,9.058333333333334,51.5675,0.21466666666666667,0.0,0
2017-01-09 03:00:00,92.9232476,7.667880300000007,102.2265682,87.7779199,8.589166666666666,55.501666666666665,0.2609166666666667,0.0,0
2017-01-09 04:00:00,91.2878073,5.547554000000005,92.9232476,87.1412684,7.53,73.20333333333333,0.28175,0.0,0
2017-01-09 05:00:00,95.199921,9.937299499999995,91.2878073,96.3670836,8.314166666666667,52.1875,0.2561666666666667,0.0,0
2017-01-09 06:00:00,109.0493342,63.41793449999999,95.199921,109.7333289,7.6611666666666665,60.395833333333336,0.3185,0.0,0
2017-01-09 07:00:00,186.3166819,43.33430000000001,109.0493342,179.4389367,6.286583333333333,72.345,1.4751666666666665,0.0,0
2017-01-09 08:00:00,306.9183296,-77.68064620000001,186.3166819,278.7035005,6.707,68.935,61.54833333333334,0.0,0
2017-01-09 09:00:00,349.8393311,-6.054966199999967,306.9183296,300.0487931,7.822416666666666,66.01583333333333,202.46666666666667,0.0,0
2017-01-09 10:00:00,386.7053664,-25.707357600000023,349.8393311,329.3708422,7.883333333333333,66.22416666666668,333.0833333333333,0.0,0
2017-01-09 11:00:00,397.8640441,-10.04286719999999,386.7053664,355.2124025,9.729166666666666,58.02916666666667,428.14166666666665,0.0,0
2017-01-09 12:00:00,398.9798546,-24.917604299999994,397.8640441,373.9417924,11.163333333333334,50.06,471.9583333333333,0.0,0
2017-01-09 13:00:00,375.1780608,27.831692799999985,398.9798546,361.8446503,13.209166666666667,39.64666666666667,459.90000000000003,0.0,0
2017-01-09 14:00:00,379.2079598,-21.4512421,375.1780608,354.1196909,15.978333333333333,34.04666666666667,391.0,0.0,0
2017-01-09 15:00:00,361.7866167,19.530215399999975,379.2079598,354.5873959,15.893333333333333,37.635,268.4916666666667,0.0,0
2017-01-09 16:00:00,363.895489,-22.612104999999985,361.7866167,347.5905291,16.100833333333334,38.348333333333336,127.99000000000001,0.0,0
2017-01-09 17:00:00,343.3922563,-43.51317329999995,363.895489,315.1220662,14.736666666666666,44.32333333333333,13.059916666666666,0.0,0
2017-01-09 18:00:00,279.3758503,-20.222037000000057,343.3922563,268.6617787,13.589166666666666,43.833333333333336,0.15225000000000002,0.0,0
2017-01-09 19:00:00,195.1374073,39.6946006,279.3758503,183.7777119,13.299166666666666,39.62583333333333,0.166,0.0,0
2017-01-09 20:00:00,150.5935649,24.279425600000025,195.1374073,160.701529,12.756666666666668,42.0675,0.14783333333333334,0.0,0
2017-01-09 21:00:00,130.3291481,12.99036319999999,150.5935649,136.6553832,11.835833333333333,49.32,0.15208333333333335,0.0,0
2017-01-09 22:00:00,123.0550945,6.264574400000001,130.3291481,133.1861575,11.463333333333333,55.36333333333334,0.10825000000000001,0.0,0
2017-01-09 23:00:00,122.0456153,-0.48335879999999065,123.0550945,129.418746,11.935,48.419999999999995,0.14991666666666667,0.0,0
2017-01-10 00:00:00,120.5527773,-10.299055000000024,122.0456153,128.4919265,11.938333333333333,51.32666666666666,0.14525000000000002,0.0,0
2017-01-10 01:00:00,108.7608843,10.905162500000003,120.5527773,122.6492411,11.6475,69.96166666666666,0.31383333333333335,0.0,0
