Date,Power (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday,Power_second_derivative (kW),Power-1 (kW),Power_week (kW)
2019-01-08 00:00:00,122.137,11.485833333333332,32.740833333333335,1.5415833333333333,0.0,0,5.052999999999997,126.492,93.576
2019-01-08 01:00:00,122.835,10.685,37.240833333333335,1.17,0.0,0,-0.8599999999999852,122.137,94.166
2019-01-08 02:00:00,122.673,10.015833333333331,40.711666666666666,0.9461666666666666,0.0,0,-3.7790000000000106,122.835,94.725
2019-01-08 03:00:00,118.732,9.511666666666668,40.568333333333335,1.0018333333333334,0.0,0,5.275999999999996,122.673,97.048
2019-01-08 04:00:00,120.067,8.655833333333334,41.62916666666667,1.5374166666666669,0.0,0,1.65300000000002,118.732,95.032
2019-01-08 05:00:00,123.055,9.355,35.89333333333334,1.2581666666666669,0.0,0,14.73699999999998,120.067,96.062
2019-01-08 06:00:00,140.78,8.68,37.994166666666665,1.0295,0.0,0,19.039000000000016,123.055,94.803
2019-01-08 07:00:00,177.544,6.865583333333333,51.14416666666667,2.4978333333333333,0.0,0,49.107,140.78,108.339
2019-01-08 08:00:00,263.415,7.0545,50.59166666666667,71.8525,0.0,0,-71.01700000000002,177.544,165.053
2019-01-08 09:00:00,278.269,7.803333333333334,47.32333333333333,224.8083333333333,0.0,0,17.535000000000025,263.415,167.099
2019-01-08 10:00:00,310.658,8.531666666666666,43.18666666666667,362.35,0.0,0,-49.964,278.269,168.176
2019-01-08 11:00:00,293.083,9.545833333333333,40.125,457.8,0.0,0,31.627999999999986,310.658,167.014
2019-01-08 12:00:00,307.136,10.71,38.29166666666666,502.0333333333333,0.0,0,-15.539000000000044,293.083,166.904
2019-01-08 13:00:00,305.65,12.1775,36.27,485.39166666666665,0.0,0,12.621000000000095,307.136,165.091
2019-01-08 14:00:00,316.785,14.2525,30.383333333333336,413.05,0.0,0,-14.573000000000093,305.65,166.673
